dataset,series,model,mse,mae
InternationalDeclarations,concurrent_cases,naive,45.285714285714285,6.116071428571429
InternationalDeclarations,concurrent_cases,naive_recent,0.07589285714285714,0.049107142857142856
InternationalDeclarations,concurrent_cases,seasonal_naive,45.285714285714285,6.116071428571429
InternationalDeclarations,concurrent_cases,ets,38.70228979209299,5.670376575847134
InternationalDeclarations,concurrent_cases,sarimax,32715.6964579297,151.05834607130305
InternationalDeclarations,concurrent_cases,ridge,185026.4589421896,395.8378091057785
InternationalDeclarations,concurrent_cases,gru,166615.57918706446,339.6899131822443
InternationalDeclarations,concurrent_cases,nbeats,135757.39993181586,304.89140098302494
InternationalDeclarations,throughput_time,naive,22035425.44963258,4405.5693163430415
InternationalDeclarations,throughput_time,naive_recent,449150.8281477848,103.03582793959008
InternationalDeclarations,throughput_time,seasonal_naive,21496552.481733076,4352.268392664509
InternationalDeclarations,throughput_time,ets,15932687.537715185,3710.1050036245065
InternationalDeclarations,throughput_time,sarimax,18675132.193496212,4041.736542369561
InternationalDeclarations,throughput_time,ridge,34382653.24911298,5565.806945217328
InternationalDeclarations,throughput_time,gru,22854969.22583988,4497.064292269612
InternationalDeclarations,throughput_time,nbeats,56461271.6613684,7155.768918486578
