dataset,series,model,mse,mae
DomesticDeclarations,concurrent_cases,naive,16498.059210526317,118.46710526315789
DomesticDeclarations,concurrent_cases,naive_recent,1414.157894736842,25.38157894736842
DomesticDeclarations,concurrent_cases,seasonal_naive,16832.532894736843,119.71710526315789
DomesticDeclarations,concurrent_cases,ets,14861.192970131897,112.7612172493258
DomesticDeclarations,concurrent_cases,sarimax,19955.625819134068,127.66847498645046
DomesticDeclarations,concurrent_cases,ridge,19826.699457840517,129.96431919683516
DomesticDeclarations,concurrent_cases,gru,31951.825615301237,157.9066729943228
DomesticDeclarations,concurrent_cases,nbeats,12925.947575653243,86.02984890184905
DomesticDeclarations,throughput_time,naive,249215.70988850118,323.03109909156353
DomesticDeclarations,throughput_time,naive_recent,70081.85671918502,122.02295128019848
DomesticDeclarations,throughput_time,seasonal_naive,216276.14404453238,358.3794397077997
DomesticDeclarations,throughput_time,ets,142389.10022498388,289.28997552940524
DomesticDeclarations,throughput_time,sarimax,307462.76101333677,401.24213600844456
DomesticDeclarations,throughput_time,ridge,172360.43366634691,246.66022816198898
DomesticDeclarations,throughput_time,gru,176420.036475448,263.19921313199046
DomesticDeclarations,throughput_time,nbeats,173871.09325141963,251.76050597656172
InternationalDeclarations,concurrent_cases,naive,45.285714285714285,6.116071428571429
InternationalDeclarations,concurrent_cases,naive_recent,0.07589285714285714,0.049107142857142856
InternationalDeclarations,concurrent_cases,seasonal_naive,45.285714285714285,6.116071428571429
InternationalDeclarations,concurrent_cases,ets,38.70228979209299,5.670376575847134
InternationalDeclarations,concurrent_cases,sarimax,32715.6964579297,151.05834607130305
InternationalDeclarations,concurrent_cases,ridge,185026.4589421896,395.8378091057785
InternationalDeclarations,concurrent_cases,gru,166615.57918706446,339.6899131822443
InternationalDeclarations,concurrent_cases,nbeats,135757.39993181586,304.89140098302494
InternationalDeclarations,throughput_time,naive,22035425.44963258,4405.5693163430415
InternationalDeclarations,throughput_time,naive_recent,449150.8281477848,103.03582793959008
InternationalDeclarations,throughput_time,seasonal_naive,21496552.481733076,4352.268392664509
InternationalDeclarations,throughput_time,ets,15932687.537715185,3710.1050036245065
InternationalDeclarations,throughput_time,sarimax,18675132.193496212,4041.736542369561
InternationalDeclarations,throughput_time,ridge,34382653.24911298,5565.806945217328
InternationalDeclarations,throughput_time,gru,22854969.22583988,4497.064292269612
InternationalDeclarations,throughput_time,nbeats,56461271.6613684,7155.768918486578
PermitLog,concurrent_cases,naive,0.6862745098039216,0.6862745098039216
PermitLog,concurrent_cases,naive_recent,0.0032679738562091504,0.0032679738562091504
PermitLog,concurrent_cases,seasonal_naive,0.6862745098039216,0.6862745098039216
PermitLog,concurrent_cases,ets,0.5347496638966035,0.6145735160688429
PermitLog,concurrent_cases,sarimax,1.6545350116135369,1.051655524794948
PermitLog,concurrent_cases,ridge,77034.70954306221,254.99393832530134
PermitLog,concurrent_cases,gru,29668.14887321912,147.2102930268219
PermitLog,concurrent_cases,nbeats,112886.08338013523,304.0484768237943
PermitLog,throughput_time,naive,47184486.51384,6095.549856755711
PermitLog,throughput_time,naive_recent,208780.91377805307,26.97145954316686
PermitLog,throughput_time,seasonal_naive,47184486.51384,6095.549856755711
PermitLog,throughput_time,ets,31083256.99589617,4981.559087601573
PermitLog,throughput_time,sarimax,30318503.911395483,4940.908357248527
PermitLog,throughput_time,ridge,11932680.840548182,2948.6191656017145
PermitLog,throughput_time,gru,43480269.33039334,5913.3523868339125
PermitLog,throughput_time,nbeats,29756359.9843408,5132.169469540929
PrepaidTravelCost,concurrent_cases,naive,4540.834586466165,49.766917293233085
PrepaidTravelCost,concurrent_cases,naive_recent,65.18045112781955,5.676691729323308
PrepaidTravelCost,concurrent_cases,seasonal_naive,6489.518796992481,65.32330827067669
PrepaidTravelCost,concurrent_cases,ets,5316.226971831026,56.089422554051104
PrepaidTravelCost,concurrent_cases,sarimax,2829.0840773268337,38.163412202124036
PrepaidTravelCost,concurrent_cases,ridge,732.1407197491357,23.2417926491429
PrepaidTravelCost,concurrent_cases,gru,9236.985356267089,80.6180905433089
PrepaidTravelCost,concurrent_cases,nbeats,1212.715398461456,26.38281169690584
PrepaidTravelCost,throughput_time,naive,413407.467605992,495.54090640018336
PrepaidTravelCost,throughput_time,naive_recent,339490.6901863562,303.33087198629335
PrepaidTravelCost,throughput_time,seasonal_naive,665110.4108084004,553.5305836208903
PrepaidTravelCost,throughput_time,ets,457705.4967105896,534.3589823122836
PrepaidTravelCost,throughput_time,sarimax,705287.4311899947,705.248761165074
PrepaidTravelCost,throughput_time,ridge,302898.7315406383,391.4794710133802
PrepaidTravelCost,throughput_time,gru,538502.97357005,593.5865989682537
PrepaidTravelCost,throughput_time,nbeats,326274.1922977969,415.76868516251733
RequestForPayment,concurrent_cases,naive,21822.1875,114.825
RequestForPayment,concurrent_cases,naive_recent,572.31875,13.38125
RequestForPayment,concurrent_cases,seasonal_naive,21380.3125,112.675
RequestForPayment,concurrent_cases,ets,21323.56634610354,113.88136454812177
RequestForPayment,concurrent_cases,sarimax,29413.341453703142,128.30425642537415
RequestForPayment,concurrent_cases,ridge,36909.604863683104,141.4895888194968
RequestForPayment,concurrent_cases,gru,18793.87508656077,109.97622525248944
RequestForPayment,concurrent_cases,nbeats,20750.757337102084,117.33437452316284
RequestForPayment,throughput_time,naive,4389311.010994802,1249.2837953772942
RequestForPayment,throughput_time,naive_recent,98229.1395841008,107.64230312293431
RequestForPayment,throughput_time,seasonal_naive,4017781.223767293,1150.988036738949
RequestForPayment,throughput_time,ets,4305952.12240477,1217.2514098706356
RequestForPayment,throughput_time,sarimax,5006590.13224003,1382.6233540589883
RequestForPayment,throughput_time,ridge,4056423.392662077,1147.4170480137127
RequestForPayment,throughput_time,gru,4163591.473882537,1170.5302644087838
RequestForPayment,throughput_time,nbeats,3975420.0683728205,1135.2211762168845
